TITLE,PEGDA 1500 MgTFSI 30 03_05_18,
DATA TYPE,RAMAN SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,18/03/05,
TIME,9:27:25,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1041,
RESOLUTION,,
DELTAX,1,
XUNITS,1/CM,
YUNITS,INTENSITY,
FIRSTX,212.4148,
LASTX,2060.4148,
NPOINTS,1849,
FIRSTY,45.04688,
MAXY,944.58575,
MINY,29.04553,
XYDATA,,
1165.4148,393.358,
1166.4148,337.901,
1167.4148,265.931,
1168.4148,202.105,
1169.4148,160.87,
1170.4148,127.397,
1171.4148,96.6085,
1172.4148,75.5965,
1173.4148,61.4316,
1174.4148,47.5706,
1175.4148,44.8732,
1176.4148,60.983,
1177.4148,72.5497,
1178.4148,64.0302,
1179.4148,46.4322,
1180.4148,36.9196,
1181.4148,53.3388,
1182.4148,78.0452,
1183.4148,78.1682,
1184.4148,73.9915,
1185.4148,90.0863,
1186.4148,94.2393,
1187.4148,73.1111,
1188.4148,73.2261,
1189.4148,100.795,
1190.4148,110.589,
1191.4148,100.794,
1192.4148,97.6526,
1193.4148,101.798,
1194.4148,106.352,
1195.4148,115.014,
1196.4148,127.302,
1197.4148,129.993,
1198.4148,119.53,
1199.4148,105.344,
1200.4148,95.3766,
1201.4148,94.4076,
1202.4148,96.7436,
1203.4148,93.9607,
1204.4148,82.735,
1205.4148,66.6237,
1206.4148,60.0744,
1207.4148,64.5952,
1208.4148,66.0804,
1209.4148,58.9824,
1210.4148,45.531,
1211.4148,36.8116,
1212.4148,41.1526,
1213.4148,46.3616,
1214.4148,43.3934,
1215.4148,37.287,
1216.4148,35.7594,
1217.4148,46.3461,
1218.4148,60.5883,
1219.4148,63.7075,
1220.4148,63.151,
1221.4148,69.6307,
1222.4148,79.1472,
1223.4148,89.1001,
1224.4148,103.953,
1225.4148,121.661,
1226.4148,133.786,
1227.4148,140.343,
1228.4148,146.39,
1229.4148,156.878,
1230.4148,170.204,
1231.4148,167.098,
1232.4148,145.82,
1233.4148,135.345,
1234.4148,143.884,
1235.4148,158.689,
1236.4148,166.759,
1237.4148,159.618,
1238.4148,147.85,
1239.4148,142.996,
1240.4148,146.075,
1241.4148,152.003,
1242.4148,150.47,
1243.4148,144.698,
1244.4148,145.509,
1245.4148,141.312,
1246.4148,119.385,
1247.4148,99.2556,
1248.4148,96.706,
1249.4148,104.896,
1250.4148,113.315,
1251.4148,111.494,
1252.4148,102.146,
1253.4148,95.1256,
1254.4148,92.3952,
1255.4148,90.4435,
1256.4148,78.1012,
1257.4148,57.2276,
1258.4148,52.023,
1259.4148,61.0386,
1260.4148,60.0231,
1261.4148,50.0426,
1262.4148,43.6539,
1263.4148,43.7848,
1264.4148,48.8126,
1265.4148,53.0452,
1266.4148,59.7464,
1267.4148,83.0556,
1268.4148,116.101,
1269.4148,139.529,
1270.4148,156.781,
1271.4148,177.555,
1272.4148,201.248,
1273.4148,225.839,
1274.4148,250.683,
1275.4148,275.321,
1276.4148,299.444,
1277.4148,323.753,
1278.4148,349.745,
1279.4148,380.015,
1280.4148,412.277,
1281.4148,431.679,
1282.4148,435.752,
1283.4148,440.588,
1284.4148,452.185,
1285.4148,467.579,
1286.4148,481.311,
1287.4148,487.342,
1288.4148,480.937,
1289.4148,467.045,
1290.4148,466.401,
1291.4148,477.919,
1292.4148,479.531,
1293.4148,469.03,
1294.4148,455.395,
1295.4148,447.126,
1296.4148,447.331,
1297.4148,447.031,
1298.4148,441.134,
1299.4148,431.748,
1300.4148,422.232,
1301.4148,414.998,
1302.4148,403.416,
1303.4148,382.724,
1304.4148,363.897,
1305.4148,351.765,
1306.4148,336.948,
1307.4148,316.242,
1308.4148,293.258,
1309.4148,273.809,
1310.4148,261.128,
1311.4148,244.877,
1312.4148,219.162,
1313.4148,193.31,
1314.4148,173.124,
1315.4148,158.205,
1316.4148,143.283,
1317.4148,123.178,
1318.4148,106.094,
1319.4148,98.7997,
1320.4148,94.7061,
1321.4148,88.7965,
1322.4148,80.6754,
1323.4148,69.8812,
1324.4148,56.5697,
1325.4148,46.1469,
1326.4148,43.4004,
1327.4148,45.5921,
1328.4148,50.1992,
1329.4148,56.9704,
1330.4148,62.7089,
1331.4148,62.9956,
1332.4148,63.3396,
1333.4148,68.0554,
1334.4148,62.1274,
1335.4148,45.0448,
1336.4148,48.0322,
1337.4148,67.4248,
1338.4148,68.4086,
1339.4148,61.4559,
1340.4148,69.9858,
1341.4148,73.8105,
1342.4148,58.8649,
1343.4148,45.8309,
1344.4148,43.5942,
1345.4148,44.5829,
1346.4148,49.5239,
1347.4148,60.5766,
1348.4148,62.2577,
1349.4148,48.0602,
1350.4148,43.1781,
1351.4148,55.4059,
1352.4148,67.5643,
